sample_name,experiment,cell,VHL,HIF1B,EIF4E2,gRNA_id,oxygen,clone,treatment,fraction,library_ID,ERCC,TSO,input_volume
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo2,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo2,LYS23L,Yes,TSO-2,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo3,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo3,LYS23L,Yes,TSO-3,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo4,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo4,LYS23L,Yes,TSO-4,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo5,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo5,LYS23L,Yes,TSO-5,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo6,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo6,LYS23L,Yes,TSO-6,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo7,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo7,LYS23L,Yes,TSO-7,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo8,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo8,LYS23L,Yes,TSO-8,150
polysome_RCC4_VHL_EIF4E2_NA_1_Torin1_ribo0A,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,Torin1,ribo0A,LYS23Q,Yes,TSO-15,150
polysome_RCC4_VHL_EIF4E2_NA_1_Torin1_ribo0B,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,Torin1,ribo0B,LYS23Q,Yes,TSO-16,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo0A,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo0A,LYS23Q,Yes,TSO-3,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo0B,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo0B,LYS23Q,Yes,TSO-4,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo1,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo1,LYS23N,Yes,TSO-8,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo2,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo2,LYS23N,Yes,TSO-7,150
